"","id","date","screen_name","text","pre_processed_text","rt","like"
"33428",33428,2020-04-27,"selvijn_ellias","Siiip !!!! Target Pemerintah: Juni angka corona turun, Juli hidup normal, mari tingkatkan kesadaran kolektif https://t.co/GBiHn1WOIy","siiip target pemerintah juni angka corona turun juli hidup normal mari tingkatkan kesadaran kolektif",0,0
"34926",34926,2020-04-27,"irenelevinaa","@Fckpencitraan tes corona cuk:(","tes corona cuk",0,0
"93659",93659,2020-04-26,"fahmihusen98","Assalamualaikum wr. wb. 

Gotong Royong Melawan COVID-19 bersama KSR PMI Unit UMS

Pandemi virus Corona (COVID-19) membuat sebagian besar masyarakat di Indonesia tidak bisa menjalankan aktivitas seperti biasa.… https://t.co/OjUuvxxNzB","assalamualaikum wr wb gotong royong melawan covid ksr pmi unit ums pandemi virus corona covid masyarakat indonesia menjalankan aktivitas …",0,0
"35373",35373,2020-04-27,"ErpelaHeri","Jangan karena covid19, Urusan Ibadah Umat di-atur""! Biarjan berjalan seperti sediakala....
Benar"" Rezim ini berupaya menjauhkan Umat Islam dari Ibadah Agamanya. https://t.co/ScyMPfGA0n","covid urusan ibadah umat atur biarjan berjalan sediakala rezim berupaya menjauhkan umat islam ibadah agamanya",0,0
"13528",13528,2020-04-27,"aschareev2","@podoradong China + CHO(who) + billgate + partai demokrat US  bersatu menyerang Trump Dan berambisi menguasai dunia dgn menyebarkan virus china .. hasil akhir mereset ulang dunia Dan menyisakan Hanya manusia2 Yg kuat kuat saja ...","china cho who billgate partai demokrat us bersatu menyerang trump berambisi menguasai dunia dgn menyebarkan virus china hasil mereset ulang dunia menyisakan manusia yg kuat kuat",0,1
"38337",38337,2020-04-27,"natalia68571030","@ernestprakasa Untuk saat ini karena ada VIRUS CORONA banyak yang tidak diperbolehkan keluar rumah jadi tidak ada uang masuk Jadi biar di rumah saja tetapi ada uang masuk bisa coba main di MANGGA2BET yang menyediakan SLOT ONLINE yuk coba main di Mangga2bet akan menghasilkan uang 32 juta perhari https://t.co/oCPgptQC4r","virus corona diperbolehkan rumah uang masuk biar rumah uang masuk coba main manggabet menyediakan slot online yuk coba main manggabet menghasilkan uang juta perhari",0,0
"100160",100160,2020-04-26,"Hired_thug","Tukimalizana na Hii corona inshallah <U+0001F64F><U+0001F64F><U+0001F64F>...ntataka @BahatiKenya achague kitu moja,. either nimvutishe Bangi ya ungwaro..(herbal <U+0001F525><U+0001F525>)...ama twende Kesha kwa @ItsPastorNg (spiritual <U+0001F525><U+0001F525><U+0001F525>)..coz we can't go on like this <U+0001F621><U+0001F621><U+0001F621> https://t.co/AOcQGAPJRK","tukimalizana na hii corona inshallah",0,1
"94185",94185,2020-04-26,"kaptmarvel18450","@wisanggeni_084 manusia goblok..
kpn selesai'a ni virus kalo kyak gini trus ??? <U+0001F926><U+0001F926><U+0001F926><U+0001F926>","manusia goblok kpn selesai a ni virus kalo kyak gini trus",1,1
"88269",88269,2020-04-26,"mjlbhanushali","#sudhirchaudhary #ArnabGoswami #MannKiBaat #RahulGandhi @RahulGandhi @PMOIndia @narendramodi @aajtak #AskZee @ZeeNews @AmitShah @myogiadityanath Rahulji Ap log lockdown ke khilaf bayan de rhe h agr Ap PM hote to kya krte corona se bachane k lia or kya alag krte logo k lia pls rpy","rahulji ap log lockdown khilaf bayan de rhe h agr ap pm hote to kya krte corona bachane k lia or kya alag krte logo k lia pls rpy",0,0
"2343",2343,2020-04-27,"LuwitaEmilly878","Hadehh ya bulan puasa masa kelonan m swami orang <U+0001F606> istri macem apakah 

Mudik karena Corona, Pria di Wonogiri Malah Pergoki Istrinya Lagi Kelonan Dengan Oknum Kades https://t.co/ni7HiXjoKt","hadehh ya puasa kelonan m swami orang istri macem mudik corona pria wonogiri pergoki istrinya kelonan oknum kades",4,19
"67930",67930,2020-04-26,"fatwakurahman5","@adetuwuable @xenoparti 1. Semoga corona cepat selesai
2. Agar bisa pulang kampung
3. Soalnya masih tetap kerja<U+0001F643>","semoga corona cepat selesai pulang kampung kerja",0,0
"84037",84037,2020-04-26,"kabar28","Gara-gara Corona Hotel dan Restoran Sepi, Karyawan Dirumahkan.. https://t.co/4AdxAantEk https://t.co/FBWH8uWUCV","gara gara corona hotel restoran sepi karyawan dirumahkan",0,0
"77185",77185,2020-04-26,"lemonsqquizeee","@ohbelindaaa @honeymoonnnnnn_ Bilang aja kek gini dew ""kenapa corona pas aku lgi seru serunya bucin"" hehe","bilang aja kek gini dew corona pas lgi seru serunya bucin hehe",0,0
"19993",19993,2020-04-27,"Auliafadhly1","Gw bingung anj***, gw baru pindah ke sma baru, niat pingin ketemu sama temen baru, eh malah corona, ntar taun ajaran baru gw masuk masuk langsung di zoom and say, halo tmn tmn..... Saya murid baru...... Anjing kan ga lucu yak!!!!! Knp gw jadi misuh misuh gini astagfirullah","gw bingung anj gw pindah sma niat pingin ketemu temen eh corona ntar taun ajaran gw masuk masuk langsung zoom and say halo tmn tmn murid anjing ga lucu yak knp gw misuh misuh gini astagfirullah",0,2
"62487",62487,2020-04-26,"ezyxc","bosen bgt buka berita isiny corona semua<U+0001F937><U+0001F3FB><U+200D><U+2640><U+FE0F>","bosen bgt buka berita isiny corona",0,0
"44528",44528,2020-04-27,"Poisonndwine","@raabbbb @collegemenfess Siap siap kalo corona kelar tugas kuliah banyak <U+0001F602>","kalo corona kelar tugas kuliah",0,0
"35234",35234,2020-04-27,"astorister","Mana nih 10 juta lapangan kerja? Alibinya:  dampak wabah corona bla bla bla.. https://t.co/1qidC9vbb1","nih juta lapangan kerja alibinya dampak wabah corona bla bla bla",0,0
"45284",45284,2020-04-27,"HildeMachele","Stay safe.
Kama huna ulazima wa kutoka kaa nyumbani.
Covid19 is really. https://t.co/KwTMvEN4Ef","stay safe kama huna ulazima wa kutoka kaa nyumbani covid is really",0,3
