"","id","date","screen_name","text","pre_processed_text","rt","like"
"30951",30951,2020-04-27,"SudutEnergi_ID","Belum reda dampak virus corona, harga murah minyak dunia ikut menyerang saham energi.
https://t.co/D2ZRu5MTiH","belum reda dampak virus corona harga murah minyak dunia ikut menyerang saham energi",0,0
"84840",84840,2020-04-26,"daniamfz","Apalah gunanya bersalin dekat private kalau laki takleh masuk musim musim virus ni. I’d rather choose gov lah lagi lagi anak first","apalah gunanya bersalin dekat private kalau laki takleh masuk musim musim virus ni i’d rather choose gov lah lagi lagi anak first",0,0
"44015",44015,2020-04-27,"Yahoo_ID","Pemprov DKI Siapkan Gor untuk Tampung Tunawisma Terdampak Covid-19 https://t.co/inicZbsUul

Cari berita lain? Silahkan klik disini https://t.co/etgqSfoIwQ https://t.co/lHoD0ObPlf","pemprov dki siapkan gor untuk tampung tunawisma terdampak covid ",0,4
"95032",95032,2020-04-26,"Borox56826405","Untuk mengurangi penyebaran pandemi Covid-19
-
Pemerintah Prov. Jawa Timur memantau langsung Pos penyekatan arus mudik di exit Toll Ngawi. Minggu (26/4/2020)
-
#dirumahaja
#polisijatim https://t.co/wc41PR75pe","untuk mengurangi penyebaran pandemi covid  pemerintah prov jawa timur memantau langsung pos penyekatan arus mudik di exit toll ngawi minggu   ",0,1
"101214",101214,2020-04-26,"RyanJonathan135","@NyneComics Kenapa gak sewa buzzeRp aja.
Soalnya di sini lawan Corona make jasa buzzeRp","kenapa gak sewa buzzerp aja soalnya di sini lawan corona make jasa buzzerp",0,0
"4903",4903,2020-04-27,"antaranews_bali","Imigrasi Ngurah Rai periksa warga Singapura tinggal di bedeng: Kantor Imigrasi Kelas I Khusus TPI Ngurah Rai memeriksa seorang warga negara asing (WNA) bernama Hardev Prem Grewal yang diserahkan oleh Tim Satgas COVID-19, untuk dimintai keterangan terkait… https://t.co/hIjExaRyD1","imigrasi ngurah rai periksa warga singapura tinggal di bedeng kantor imigrasi kelas i khusus tpi ngurah rai memeriksa seorang warga negara asing wna bernama hardev prem grewal yang diserahkan oleh tim satgas covid  untuk dimintai keterangan terkait…",1,0
"56834",56834,2020-04-27,"KutaSelatanNN","Tips aman buat kamu yang saat Pandemik Covid19 masih harus bekerja diluar
.
#BersamaLawanCorona https://t.co/ecAAMn7fLu","tips aman buat kamu yang saat pandemik covid masih harus bekerja diluar",0,0
"96040",96040,2020-04-26,"WArjasa","humaspoldajatim Untuk mengurangi penyebaran pandemi Covid-19
-
Pemerintah Prov. Jawa Timur memantau langsung Pos penyekatan arus mudik di exit Toll Ngawi. Minggu (26/4/2020)
-
#dirumahaja
#polisijatim https://t.co/Gtb3lBl6Il","humaspoldajatim untuk mengurangi penyebaran pandemi covid  pemerintah prov jawa timur memantau langsung pos penyekatan arus mudik di exit toll ngawi minggu   ",0,0
"59344",59344,2020-04-26,"bolacomID","Pandemi virus corona membuat pembalap MotoGP, termasuk Valentino Rossi, enggan pensiun cepat-cepat. https://t.co/RbhqptFqq7","pandemi virus corona membuat pembalap motogp termasuk valentino rossi enggan pensiun cepat cepat",3,8
"49139",49139,2020-04-27,"Wakusnooz","@gillymisanga104 ""Nawa mikono usishike pua, macho mdomo, vaa barakoa safari isiyo na umuhimu usiende unayepanda nae daladala usimuamini kama ni mzima ubishi hautakusaidi kitu corona ipo na inaua haraka kuliko ugonjwa mwingine.""

#MikonoSafiTanzaniaSalama
#MikonoSafiTanzaniaSalama","nawa mikono usishike pua macho mdomo vaa barakoa safari isiyo na umuhimu usiende unayepanda nae daladala usimuamini kama ni mzima ubishi hautakusaidi kitu corona ipo na inaua haraka kuliko ugonjwa mwingine",1,2
