"","word","freq"
"corona","corona",5176
"covid","covid",3652
"virus","virus",1612
"pandemi","pandemi",625
"orang","orang",584
"positif","positif",470
"aja","aja",437
"penyebaran","penyebaran",421
"indonesia","indonesia",393
"semoga","semoga",373
"rumah","rumah",373
"pemerintah","pemerintah",361
"wabah","wabah",326
"kalo","kalo",322
"gak","gak",308
"masyarakat","masyarakat",304
"nya","nya",300
"warga","warga",284
"pasien","pasien",283
"april","april",269
"udah","udah",262
"kena","kena",260
"mudik","mudik",248
"negara","negara",224
"hai","hai",205
"amp","amp",203
"kota","kota",201
"allah","allah",200
"gara","gara",197
"puasa","puasa",190
"sembuh","sembuh",190
"kwa","kwa",189
"ramadhan","ramadhan",188
"cegah","cegah",185
"masker","masker",183
"selesai","selesai",179
"dunia","dunia",177
"pencegahan","pencegahan",176
"penanganan","penanganan",170
"dah","dah",170
"gue","gue",167
"jalan","jalan",164
"takut","takut",163
"salah","salah",155
"sih","sih",152
"biar","biar",150
"kelar","kelar",150
"bantuan","bantuan",150
"meninggal","meninggal",149
"masuk","masuk",147
"jaga","jaga",147
"sepei","sepei",146
"cepat","cepat",141
"anak","anak",135
"psbb","psbb",135
"bgt","bgt",135
"ibadah","ibadah",134
"mari","mari",131
"pengen","pengen",131
"kesehatan","kesehatan",129
"gua","gua",128
"terdampak","terdampak",125
"minggu","minggu",125
"daerah","daerah",124
"dampak","dampak",123
"gini","gini",123
"pas","pas",123
"kes","kes",123
"melawan","melawan",122
"himbauan","himbauan",120
"jakaa","jakaa",120
"dgn","dgn",120
"pulang","pulang",120
"lawan","lawan",118
"dirumah","dirumah",118
"langsung","langsung",117
"tau","tau",117
"desa","desa",116
"akibat","akibat",116
"selamat","selamat",114
"org","org",114
"keluarga","keluarga",114
"hidup","hidup",113
"banget","banget",113
"rakyat","rakyat",113
"ilang","ilang",111
"update","update",111
"penularan","penularan",110
"nih","nih",109
"data","data",109
"bikin","bikin",107
"kerja","kerja",107
"bersatu","bersatu",105
"beli","beli",104
"dokter","dokter",104
"kampung","kampung",103
"polsek","polsek",102
"udh","udh",102
"karna","karna",102
"kegiatan","kegiatan",101
"medis","medis",100
"wkwk","wkwk",98
"pake","pake",98
"sakit","sakit",98
"terkait","terkait",97
"sampe","sampe",97
"abis","abis",94
"jarak","jarak",94
"media","media",94
"utk","utk",94
"klo","klo",93
"wilayah","wilayah",93
"krn","krn",92
"tugas","tugas",91
